id;uuid;app_version;id_updated
1;systemic;Bacon program;false
2;HTTP;Soap Toys bandwidth;true
3;Practical Graphical User Interface Generic Plastic Keyboard;Versatile;false
4;bandwidth;zero defect Ergonomic;true
5;Baby Malagasy Ariary Avon;upward-trending Human service-desk;true
6;Tactics West Virginia;silver;false
7;Avon Grass-roots client-server;Towels Unbranded;false
8;fresh-thinking;payment;false
9;Assistant;Senior functionalities Checking Account;false
10;Streets Data sky blue;Credit Card Account;false
